invoice_number,store_code,transaction_timestamp,sku_code,quantity,unit_price,transaction_type,customer_id
INV-68605,FA-004,2025-11-24 09:49:22,SKU-9670,2,7047.1,SALE,LOYAL-4043
INV-12860,FA-008,2025-11-10 05:03:45,SKU-3495,1,4387.26,SALE,
INV-38310,FA-005,2025-11-27 14:33:20,SKU-3159,2,4405.82,SALE,LOYAL-4186
INV-46481,FA-006,2025-11-17 07:33:52,SKU-7350,3,681.7,SALE,LOYAL-2504
INV-32510,FA-006,2025-11-07 22:36:56,SKU-7394,1,3144.7,SALE,LOYAL-0302
INV-42617,FA-007,2025-11-07 08:32:40,SKU-5220,4,9699.94,SALE,
INV-33336,FA-010,2025-11-11 02:16:23,SKU-7794,4,2714.19,SALE,
INV-55217,FA-007,2025-11-22 05:52:13,SKU-6148,2,5139.21,SALE,LOYAL-1497
INV-14582,FA-010,2030-01-01 00:00:00,SKU-8904,4,4326.21,SALE,LOYAL-2229
INV-94613,FA-009,2025-11-30 00:49:56,SKU-6047,3,5179.25,SALE,
INV-41417,FA-007,2025-11-30 16:33:01,SKU-0893,2,1440.78,SALE,LOYAL-3322
INV-74716,FA-005,2025-11-10 02:08:13,SKU-4929,4,905.91,SALE,LOYAL-0032
INV-51976,FA-004,2025-11-18 04:56:10,SKU-3150,2,9643.32,SALE,LOYAL-4065
INV-75019,FA-008,2025-11-21 11:20:17,SKU-3591,4,2875.54,SALE,LOYAL-4275
INV-56464,FA-008,2025-11-26 06:25:15,SKU-9820,2,5060.7,SALE,LOYAL-4837
INV-45750,FA-003,2025-11-10 23:07:53,SKU-8243,2,4432.71,SALE,LOYAL-2119
INV-38476,FA-006,2025-11-07 15:49:02,SKU-10761,1,5466.47,SALE,LOYAL-1573
INV-27538,FA-001,2025-11-15 12:49:07,SKU-3501,5,9086.41,SALE,LOYAL-1194
INV-98241,FA-009,2025-11-14 03:44:38,SKU-9357,2,5708.56,SALE,
INV-34522,FA-004,2025-11-28 19:09:28,SKU-3199,5,5545.17,SALE,
INV-25603,FA-004,2025-11-25 18:26:29,SKU-2958,1,7247.51,SALE,LOYAL-2849
