item_barcode|sku_code|ean_barcode|variant_label|is_active
991128822715|SKU-0001|8905192050613|34-Beige|1
998297540871|SKU-0001|8905192050613|28-Mustard|1
992105547503|SKU-0002|8907145277353|XL-Mustard|1
997164456695|SKU-0003|8903363507877|40-White|1
991615619437|SKU-0004|8906030910330|XXL-Grey|1
997439279104|SKU-0005|8909611294277|30-Sky Blue|1
991464805499|SKU-0005|8909611294277|28-Red|1
992207691820|SKU-0006|8906766952840|42-Off-White|1
991128276051|SKU-0006|8906766952840|32-Grey|1
993408277357|SKU-0006|8906766952840|XS-Grey|1
991655597798|SKU-0007|8904045807137|XXL-Lavender|1
999035840405|SKU-0007|8904045807137|30-Pink|1
997706232228|SKU-0008|8909503813364|3XL-Rust|1
991809300381|SKU-0008|8909503813364|XXL-Olive|1
995878404226|SKU-0008|8909503813364|30-White|1
999850245383|SKU-0009|8901780621370|XXL-Black|1
997102077960|SKU-0009|8901780621370|3XL-White|1
997862116995|SKU-0009|8901780621370|L-Lavender|1
992491578901|SKU-0010|8907245931743|3XL-White|1
993053411986|SKU-0010|8907245931743|3XL-Charcoal|1
998664544224|SKU-0011|8903307248273|42-Pink|1
999542852947|SKU-0012|8907515143669|Free Size-Black|1
996963195457|SKU-0013|8902296128961|40-White|1
992628449498|SKU-0013|8902296128961|S-Sky Blue|1
993121774332|SKU-0014|8906718151466|XL-Sky Blue|1
995027324756|SKU-0014|8906718151466|XL-Grey|1
992060470903|SKU-0014|8906718151466|32-Pink|1
999404454991|SKU-0015|8902977564227|38-Red|1
991551832266|SKU-0016|8908104809070|42-Rust|1
996815079962|SKU-0016|8908104809070|XS-Teal|1
995540754979|SKU-0017|8907339839488|40-Mustard|1
995640706142|SKU-0017|8907339839488|34-Grey|1
997742581667|SKU-0017|8907339839488|36-Charcoal|1
997621317723|SKU-0018|8908152676103|Free Size-Navy|1
992527084817|SKU-0018|8908152676103|32-Black|1
999220013126|SKU-0018|8908152676103|34-Black|1
999422638949|SKU-0019|8905433122604|34-Sky Blue|1
991702210713|SKU-0019|8905433122604|28-Lavender|1
992579426271|SKU-0019|8905433122604|3XL-Off-White|1
996060314301|SKU-0020|8901891267120|XXL-Olive|1
995949761906|SKU-0020|8901891267120|28-Navy|1
