hub_id|hub_name|pincode|latitude|longitude
c4ec9414|Hub-Gandhinagar|144556|26.608629|90.852005
02412386|Hub-Ahmedabad|738870|8.420468|89.454696
6fae0835|Hub-Jorhat|853250|27.238548|86.305303
2da4b216|Hub-Chandigarh|718672|33.510026|90.358327
367aedbc|Hub-Kozhikode|451389|25.743666|83.140436
b5f09765|Hub-Faridabad|477759|17.170419|74.913621
2b16ceb4|Hub-Kozhikode|246922|14.55691|84.695595
bb7035f2|Hub-Gwalior|734725|20.528234|69.347807
ecde03ce|Hub-Imphal|462711|31.242489|71.485955
2a60e785|Hub-Ajmer|112429|19.532527|74.109051
27ad8568|Hub-Agra|774594|22.796511|87.492899
3dff668b|Hub-Jammu|395421|24.689936|78.96134
6c5f9345|Hub-Kochi|507393|19.221894|73.998266
0ecf64b7|Hub-Puducherry|681592|19.074508|69.47948
61907f2e|Hub-Mumbai|579394|27.538777|70.195601
92213643|Hub-Faridabad|840621|14.563235|73.726658
d8a1f6cc|Hub-Shillong|121370|20.82852|84.450195
6c3f151c|Hub-Kakinada|544673|29.681408|87.741737
81812a55|Hub-Ambala|212210|16.093061|96.929601
beb9ef54|Hub-Jorhat|367733|30.520301|96.218815
28ffc99f|Hub-Jaipur|340279|20.5548|74.945273
14cc3d93|Hub-Kolhapur|284156|21.154621|71.261976
fac5cc7a|Hub-Rajkot|569588|10.463656|81.246957
f4ac8888|Hub-Patna|340552|29.770517|71.607184
518a69d4|Hub-Shillong|604347|14.515193|73.567682
0dab9b98|Hub-Muzaffarpur|757127|20.907648|79.860362
31d28f13|Hub-Noida|374852|19.508875|86.551547
db815d48|Hub-Amritsar|610160|15.33776|96.648452
5ce4fae4|Hub-Varanasi|554502|8.685834|89.891838
cb4299ae|Hub-Siliguri|455196|30.972782|89.942308
4331e96b|Hub-Ajmer|852177|15.213566|68.465442
d8209aed|Hub-Prayagraj|535140|16.478903|68.400307
72aaa6a8|Hub-Meerut|254433|32.194509|92.782491
21951c8a|Hub-Jammu|540978|27.793105|81.075357
69f2078d|Hub-Panipat|177631|17.833639|95.780152
fa14a53b|Hub-Asansol|179392|9.595374|75.084811
c3e73aaf|Hub-Nellore|364291|33.129257|76.390873
c2d66ef0|Hub-Agra|757548|12.862402|90.121977
f6bdf559|Hub-Thane|186428|18.386311|79.078946
088fd279|Hub-Kota|849579|9.760686|78.842401
8f06a2b3|Hub-Jodhpur|562016|16.090808|70.232276
220ead8a|Hub-Jodhpur|305786|22.624806|71.185403
250154c8|Hub-Rajkot|492409|27.085119|86.253069
747ea66a|Hub-Tiruchirappalli|357005|16.822945|69.887608
a52c43c2|Hub-Bhagalpur|482397|21.176422|68.34337
fc81d331|Hub-Pune|487566|31.982629|82.617194
9ace1efc|Hub-Gaya|170426|22.070456|96.220128
438e87e9|Hub-Imphal|201792|12.209042|86.520321
fb78fd7a|Hub-Thane|482568|34.484245|77.461713
36a0bd7d|Hub-Karnal|162023|34.862578|85.405506
286af354|Hub-Aligarh|143501|12.8145|83.969803
75c7ea81|Hub-Dehradun|319397|27.388723|79.013025
482f3d9a|Hub-Mumbai|634599|33.487881|73.851429
90084f5a|Hub-Vellore|682595|19.379715|88.474964
2492521c|Hub-Warangal|694987|25.641303|83.471863
eb608934|Hub-Ghaziabad|611686|24.734421|83.748771
07cdaf2c|Hub-Karnal|838627|26.035438|92.212786
8806c0ba|Hub-Dhanbad|404437|21.303087|75.227755
8d0d9626|Hub-Ludhiana|790158|20.42003|75.448481
7ec2dd8c|Hub-Faridabad|586849|8.106662|87.275047
55584187|Hub-Thrissur|751717|9.055609|95.377571
614bd789|Hub-Thane|822539|12.036987|92.223856
865b89d1|Hub-Solapur|253831|18.226631|75.831746
93b17620|Hub-Kakinada|248982|27.291429|94.121432
14de959e|Hub-Siliguri|570688|22.654965|82.150692
2133a1d2|Hub-Ludhiana|724141|27.260236|83.874446
52a5dafe|Hub-Asansol|381759|17.013679|75.380714
62e0dc08|Hub-Tirupati|705713|29.755468|71.498759
c27a0176|Hub-Jalandhar|791105|23.402575|77.277064
f5e5ae61|Hub-Amritsar|215442|23.785443|73.553392
65f17b3a|Hub-Gandhinagar|192000|33.403473|87.698857
4c601e19|Hub-Rajkot|696466|23.139559|79.33368
f8e22a63|Hub-Bhubaneswar|195058|18.006745|86.424694
af6412ad|Hub-Gaya|272072|13.090332|77.860329
2683a244|Hub-Kolkata|618291|33.196945|82.631407
875354dc|Hub-Meerut|636686|29.008113|93.090152
b109d0dd|Hub-Salem|146544|13.838893|84.57231
e46484c9|Hub-Raipur|439874|32.779144|81.157834
009a9cd8|Hub-Tirunelveli|147098|15.454209|86.275748
1cc1c4c6|Hub-Mysuru|229973|23.076279|71.345734
c68ef5fc|Hub-Indore|208127|24.473248|93.238156
1ce6bbc6|Hub-Bokaro|603961|31.618359|90.60271
5a5159cd|Hub-Mumbai|735840|28.172829|83.107622
314e478e|Hub-Coimbatore|458097|9.368351|83.662233
48c1ed2f|Hub-Thrissur|693858|34.639017|71.053824
a056cfd0|Hub-Kakinada|853343|9.744713|90.019926
f3f5b4d7|Hub-Amritsar|372008|19.396452|95.715149
e82c72f9|Hub-Kolhapur|112764|28.199667|75.378513
411fd429|Hub-Gandhinagar|417018|32.837034|94.594827
4c7b5a13|Hub-Meerut|405769|25.471214|86.309869
65b9161f|Hub-Bikaner|246858|31.27862|72.619854
f3eb90ce|Hub-Nellore|124412|17.05721|93.760352
1a2554cc|Hub-Aligarh|313903|31.82995|75.021737
89746c16|Hub-Karnal|336633|27.687018|90.644315
b3fae568|Hub-Bhopal|397338|11.53293|70.603593
b8fa9d1d|Hub-Haridwar|338467|14.482732|74.91898
be6907cf|Hub-Rourkela|251522|27.011282|74.506438
5baf698f|Hub-Bareilly|211392|14.547226|92.002918
2c4b3304|Hub-Thrissur|619173|33.051716|69.957963
