sku_code,ean_barcode,product_name,brand,category,sub_category,size,color,fabric,batch_code,manufacturing_date,mrp,hsn_code,gst_pct
SKU-0001,8905192050613,RoyalStitch Kids Jeans शानदार,EthnicEdge,Kids,Kids Jeans,32,Sky Blue,Wool,B2502-198,2025-02-08,6494.42,6211,5
SKU-0002,8907145277353,OmniThreads Tie,ThreadBare,Accessories,Tie,M,Pink,Fleece,B2502-850,2025-02-12,8887.19,6217,5
SKU-0003,8903363507877,IndoChic Churidar Set,LoomLine,Ethnic Wear,Churidar Set,L,Maroon,Khadi,B2406-797,2024-06-18,5613.12,6203,5
SKU-0004,8906030910330,StitchCraft Jacket,CottonKing,Menswear,Jacket,28,Indigo,Cotton Blend,B2407-779,2024-07-18,6202.86,6217,5
SKU-0005,8909611294277,CottonKing Leggings,EthnicEdge,Womenswear,Leggings,M,Rust,Crepe,B2409-364,2024-09-10,9636.21,6204,5
SKU-0006,8906766952840,WeaveMaster Kids Ethnic Set राजशाही,SilkRoute,Kids,Kids Ethnic Set,M,Maroon,Crepe,B2408-960,2024-08-31,9725.27,6110,5
SKU-0007,8904045807137,WeaveMaster Kids Shorts,OmniThreads,Kids,Kids Shorts,38,Indigo,Viscose,B2412-728,2024-12-29,3041.06,6106,5
SKU-0008,8909503813364,UrbanWeave Shawl सुनहरा,SilkRoute,Winterwear,Shawl,L,Peach,Lycra,B2412-607,2024-12-03,9647.16,6206,5
SKU-0009,8901780621370,WeaveMaster Lehenga,StreetStyle,Ethnic Wear,Lehenga,L,Maroon,Lycra,B2404-174,2024-04-28,4977.04,6205,5
SKU-0010,8907245931743,EthnicEdge Blouse शानदार,UrbanWeave,Womenswear,Blouse,36,Charcoal,Crepe,B2410-205,2024-10-19,9555.44,6109,12
SKU-0011,8903307248273,FabIndia Jumpsuit,DesiDrape,Womenswear,Jumpsuit,40,Red,Poly-Cotton,B2405-212,2024-05-13,1830.47,6110,5
SKU-0012,8907515143669,LoomLine Kurta Pajama,StitchCraft,Ethnic Wear,Kurta Pajama,XXL,Charcoal,Polyester,B2406-967,2024-06-14,986.17,6203,12
SKU-0013,8902296128961,EthnicEdge Salwar Set,RoyalStitch,Womenswear,Salwar Set,40,Pink,Crepe,B2404-921,2024-04-08,8213.49,6203,5
